,author_id,created_at,entities,id,in_reply_to_user_id,text,name,username
0,445348047,2022-06-02 01:30:05+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'reviewbylia', 'id': '333232347'}, {'start': 110, 'end': 122, 'username': 'reviewbylia', 'id': '333232347'}]}",1532172668199661568,,"RT @reviewbylia: ✨ GIVEAWAY ALERT ✨

Yuk yg kemarin udh vote mau giveaway skincare merapat!!

Rules:
- follow @reviewbylia 
- rt &amp; like twe…",naaa♥,anadhewie
1,1009394937341677568,2022-06-02 01:30:04+00:00,"{'urls': [{'start': 95, 'end': 118, 'url': 'https://t.co/Jm5PQsB4QU', 'expanded_url': 'https://twitter.com/arabtapigenah/status/1506253774314438656', 'display_url': 'twitter.com/arabtapigenah/…'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'OOTDFESS', 'id': '856030955210850304'}]}",1532172664865181696,8.560309552108503e+17,"@OOTDFESS dari os ini nder, cek di etalasenya bagus2, rating gausah diragukan, aku punya 2 nih https://t.co/Jm5PQsB4QU",mip☁️,arabtapigenah
2,1009394937341677568,2022-06-02 00:56:49+00:00,"{'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/SjofoHh5Tq', 'expanded_url': 'https://twitter.com/arabtapigenah/status/1524753119082876929', 'display_url': 'twitter.com/arabtapigenah/…'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'akungabutt00', 'id': '1427081550328303619'}]}",1532164296293371904,1.4270815503283036e+18,@akungabutt00 ini kaa &lt;3 https://t.co/SjofoHh5Tq,mip☁️,arabtapigenah
3,1009394937341677568,2022-06-01 16:32:26+00:00,"{'mentions': [{'start': 0, 'end': 9, 'username': 'OOTDFESS', 'id': '856030955210850304'}], 'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/KjM2ml6Wj3', 'expanded_url': 'https://twitter.com/arabtapigenah/status/1518603713199611906', 'display_url': 'twitter.com/arabtapigenah/…'}]}",1532037364981596161,8.560309552108503e+17,@OOTDFESS gini nderr kalo aku https://t.co/KjM2ml6Wj3,mip☁️,arabtapigenah
4,802021237631262720,2022-06-02 01:30:01+00:00,"{'mentions': [{'start': 0, 'end': 8, 'username': 'convomf', 'id': '1314975287294083073'}]}",1532172653988982785,1.314975287294083e+18,@convomf Wisudanya pake sneakers,sa,kinedrjoyy
5,1325839661239947264,2022-06-02 01:29:58+00:00,,1532172640286216192,,Ya Allah pengen smart watch 🥺,cantik 🦋,winbeforeeid02
6,1441565744228040709,2022-06-02 01:29:53+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'dinaaghnias', 'id': '552667401'}]}",1532172620564951040,,"RT @dinaaghnias: Badanku di kasur. Tapi pikiranku pengen ramen, mie ayam, baso, seblak, cilor, telor gulung, ketan susu, kopi, es krim, dim…",✨✨Spill shopee ✨✨,ingsungraph
7,1309397637532008449,2022-06-02 01:29:50+00:00,"{'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/RfzwkplQaU', 'expanded_url': 'https://twitter.com/ksymndd/status/1532172607880957956/photo/1', 'display_url': 'pic.twitter.com/RfzwkplQaU', 'media_key': '3_1532172518068350977'}, {'start': 139, 'end': 162, 'url': 'https://t.co/RfzwkplQaU', 'expanded_url': 'https://twitter.com/ksymndd/status/1532172607880957956/photo/1', 'display_url': 'pic.twitter.com/RfzwkplQaU', 'media_key': '3_1532172546585440257'}, {'start': 139, 'end': 162, 'url': 'https://t.co/RfzwkplQaU', 'expanded_url': 'https://twitter.com/ksymndd/status/1532172607880957956/photo/1', 'display_url': 'pic.twitter.com/RfzwkplQaU', 'media_key': '3_1532172567217250304'}, {'start': 139, 'end': 162, 'url': 'https://t.co/RfzwkplQaU', 'expanded_url': 'https://twitter.com/ksymndd/status/1532172607880957956/photo/1', 'display_url': 'pic.twitter.com/RfzwkplQaU', 'media_key': '3_1532172591091159045'}]}",1532172607880957956,,"WTS sepatu reebok liquifect 180 2.0 AP size 36,5 panjang 23,6 cm 

Dijual karena kegedean 
💰 : 300.000
Barang 100% original
More info ? DM https://t.co/RfzwkplQaU",mndaa✨🐰,ksymndd
8,1474347268195041283,2022-06-02 01:29:46+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Belajarbaik00', 'id': '1485066094360809473'}, {'start': 15, 'end': 30, 'username': 'GenuineHeart11', 'id': '1514678590725828611'}]}",1532172591695179776,1.4850660943608095e+18,@Belajarbaik00 @GenuineHeart11 Boleh. Makan baso enak kayanya.,Cherry 🍒,purper_amethyst
9,366944393,2022-06-02 01:29:43+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'skinssyazz', 'id': '1548300361'}]}",1532172577816252417,,"RT @skinssyazz: Rambut ngembang bisa jadi lembut? Bisa dong✅

Btw rambut aku itu termasuk kering, agak kaku, berketombe dan ngembang. 
Aku…",sho,azeclair
10,366944393,2022-06-02 01:28:32+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'behappyeaah', 'id': '2758761529'}]}",1532172279093682176,,"RT @behappyeaah: ✨Solusi Makeup Minim Transfer Dimasker✨

Suka sebal ga sih kalau make-up &amp; lipstik banyak transfer kemasker😭
Baru pake mas…",sho,azeclair
11,1384141922,2022-06-02 01:29:38+00:00,"{'urls': [{'start': 286, 'end': 309, 'url': 'https://t.co/CzlvG3Pjvw', 'expanded_url': 'https://twitter.com/dheyrrr/status/1532172555267604480/photo/1', 'display_url': 'pic.twitter.com/CzlvG3Pjvw', 'media_key': '3_1532172546266632192'}, {'start': 286, 'end': 309, 'url': 'https://t.co/CzlvG3Pjvw', 'expanded_url': 'https://twitter.com/dheyrrr/status/1532172555267604480/photo/1', 'display_url': 'pic.twitter.com/CzlvG3Pjvw', 'media_key': '3_1532172546258325505'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'ohmybeautybank', 'id': '994801274091687936'}]}",1532172555267604480,9.94801274091688e+17,"@ohmybeautybank Sekarang beralih ke inaura krn gaperlu developer yang bikin kepala panas, catnya udah berwarna. Isinya banyak bgt lagi huhuhu trus warnanya lucu lucu dan nempel bgt warnanya!! Bikin rambut halus gak rusak, wangi permen karet juga. (Aku pake yg tosca sama shocking pink) https://t.co/CzlvG3Pjvw",Dhea,dheyrrr
12,1376879346711851013,2022-06-02 01:29:36+00:00,"{'mentions': [{'start': 3, 'end': 11, 'username': 'diniehz', 'id': '124062102'}]}",1532172546954604544,,"RT @diniehz: Pekan yang hectic buat SALT. Sibuk balas email menolak dukungan food truck dari shhd, sibuk nerima ucapan selamat buat PSH yan…",Natalie Fairbairn,NatalieFairbai3
13,565186765,2022-06-02 01:29:22+00:00,"{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/S7VYZLeatJ', 'expanded_url': 'https://twitter.com/alfisdh/status/1532172489962717185/photo/1', 'display_url': 'pic.twitter.com/S7VYZLeatJ', 'media_key': '3_1532172480294813696'}]}",1532172489962717185,,"Ini first time makan bakso aci, dan ternyata enakan seblak https://t.co/S7VYZLeatJ",als,alfisdh
14,618118380,2022-06-02 01:29:22+00:00,,1532172487634862080,618118380.0,indonesian food &gt;&gt;&gt;,🌷,shsalmah30
15,45553332,2022-06-02 01:29:21+00:00,,1532172485986201600,,"Bisa-bisanya beli sepatu, udh dicobain langsung, masih aja kekecilan😅",RS,suwendiyanti
16,1334355389039607809,2022-06-02 01:29:17+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'MassageAray', 'id': '1316242871196872704'}, {'start': 13, 'end': 27, 'username': 'istri_tergoda', 'id': '1350701697861992448'}, {'start': 28, 'end': 42, 'username': 'suami_tergoda', 'id': '1307890035341942785'}]}",1532172469767143425,1.3162428711968727e+18,@MassageAray @istri_tergoda @suami_tergoda Wangsit itu makanan yg ada di mie ayam atau bakso malang khan?,Adipati Roy Joyo Diranjang,RoyMawarBodas
17,2618536447,2022-06-02 01:29:15+00:00,"{'mentions': [{'start': 3, 'end': 18, 'username': 'nocturnalcutie', 'id': '1015567402292006918'}]}",1532172461722472448,,"RT @nocturnalcutie: Parfum zara yang menurutku perfect✨ buat cuaca yang lumayan dingin belakangan ini.

Fields at nightfall
Warm woody, coz…",Genetic Analysis,mochapralineee
18,996777748319297536,2022-06-02 01:29:10+00:00,"{'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/xVsJ6KyDXv', 'expanded_url': 'https://twitter.com/leviatyun/status/1531436649057746944?s=20&t=2bzc3ybgk6UgZIbOjhjoWA', 'display_url': 'twitter.com/leviatyun/stat…'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'KhoirunnisaFY', 'id': '431275832'}]}",1532172439878111232,431275832.0,"@KhoirunnisaFY nitip barangkali ada yg mau ikut donasi
https://t.co/xVsJ6KyDXv",Nana is stressing college,leviatyun
19,996777748319297536,2022-06-02 01:29:02+00:00,"{'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/xVsJ6KyDXv', 'expanded_url': 'https://twitter.com/leviatyun/status/1531436649057746944?s=20&t=2bzc3ybgk6UgZIbOjhjoWA', 'display_url': 'twitter.com/leviatyun/stat…'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'cathartichu', 'id': '912335870'}]}",1532172404780240896,912335870.0,"@cathartichu permisi kakk barangkali mau ikut donasi
https://t.co/xVsJ6KyDXv",Nana is stressing college,leviatyun
20,996777748319297536,2022-06-02 01:24:48+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'AREAJULID', 'id': '928308639315648512'}], 'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/xVsJ6KyDXv', 'expanded_url': 'https://twitter.com/leviatyun/status/1531436649057746944?s=20&t=2bzc3ybgk6UgZIbOjhjoWA', 'display_url': 'twitter.com/leviatyun/stat…'}]}",1532171339057876992,9.283086393156485e+17,"@AREAJULID nitip barangkali ada yg mau ikut donasi
https://t.co/xVsJ6KyDXv",Nana is stressing college,leviatyun
21,996777748319297536,2022-06-02 01:23:22+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'AREAJULID', 'id': '928308639315648512'}], 'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/xVsJ6KyDXv', 'expanded_url': 'https://twitter.com/leviatyun/status/1531436649057746944?s=20&t=2bzc3ybgk6UgZIbOjhjoWA', 'display_url': 'twitter.com/leviatyun/stat…'}]}",1532170980100935680,9.283086393156485e+17,"@AREAJULID nitip barangkali ada yg mau ikut donasi
https://t.co/xVsJ6KyDXv",Nana is stressing college,leviatyun
22,1284061445148209154,2022-06-02 01:29:08+00:00,,1532172428612235264,,💭 make primer emina itu boleh di blend pake tangan atau pake beauty blender?,💭,convomfs
23,1284061445148209154,2022-06-02 00:43:26+00:00,,1532160929596833792,,"💭 semisal aku beli mini gold di shopee terus aku jual di pegadaian nanti nilai jualnya beda jauh gak ya sama nilai belinya?
Kan biasanya klo beli perhiasan terus dijual tanpa nota nilai jualnya bakal berkurang banyak nah klo mini gold sama kayak gitu apa nggak?",💭,convomfs
24,1284061445148209154,2022-06-02 00:17:33+00:00,,1532154416824201217,,💭 kalian team pake totebag di lengan kanan atau kiri?,💭,convomfs
25,1160100963979423744,2022-06-02 01:29:06+00:00,"{'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/lcO4gDY1Lc', 'expanded_url': 'https://twitter.com/SneakerNews/status/1532108490440945668', 'display_url': 'twitter.com/SneakerNews/st…'}]}",1532172420408385538,,Maww pengen https://t.co/lcO4gDY1Lc,Kei.,dikuliti
26,2209056296,2022-06-02 01:29:01+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'AGTERDUDUK', 'id': '1363490705948119042'}]}",1532172399852290048,,RT @AGTERDUDUK: Harini komer ada plan makan ayam gepuk terduduk ke? Moh!,Moh!,MohKeIpoh
27,866802272432300032,2022-06-02 01:28:54+00:00,,1532172370135629825,,{mu} guys saranin skincare buat ngurangin jerawat sama bruntusan area dahi dongg. btw st ku sensitive ya :D tia! 💗,💜 WOMANFEEDS x JD ID BEAUTY GIVEAWAY 💜,womanfeeds_id
28,866802272432300032,2022-06-02 01:00:35+00:00,,1532165244092809216,,"Girls buat yg o1ly / combi 4cne pr0ne dan ada masalah bekas j3rawat juga, share dong skincare kalian apa aja buat memudarkan atay menghilangkan bekas tsb? 🙏 {mu}",💜 WOMANFEEDS x JD ID BEAUTY GIVEAWAY 💜,womanfeeds_id
29,866802272432300032,2022-06-01 16:47:12+00:00,"{'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/5ooFB7MgzL', 'expanded_url': 'https://twitter.com/womanfeeds_id/status/1532041083168776192/photo/1', 'display_url': 'pic.twitter.com/5ooFB7MgzL', 'media_key': '3_1532041080048603136'}]}",1532041083168776192,,ada yg pernah beliii tas/ sepatu di sini ga? ori ga si sebenernya? makasih {mu} https://t.co/5ooFB7MgzL,💜 WOMANFEEDS x JD ID BEAUTY GIVEAWAY 💜,womanfeeds_id
30,866802272432300032,2022-06-01 16:29:41+00:00,,1532036672904642560,,{mu} rambutku jadi kering dan bercabang gara2 ga cocok pake produk conditioner. Apa yg harus dilakuin biar rambut bisa sehat lg ya? 😭,💜 WOMANFEEDS x JD ID BEAUTY GIVEAWAY 💜,womanfeeds_id
31,1271973746325086209,2022-06-02 01:28:54+00:00,"{'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/5B3z00JM3f', 'expanded_url': 'https://twitter.com/ohmybeautybank/status/1531983933197656065/photo/1', 'display_url': 'pic.twitter.com/5B3z00JM3f', 'media_key': '3_1531983928642670594'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'ohmybeautybank', 'id': '994801274091687936'}]}",1532172370039144448,,RT @ohmybeautybank: [bb] mau liat flatshoes/loafers punya kalian dong. makasih ya~~ https://t.co/5B3z00JM3f,miaw⁹³ 🍊🐱,FebriAngraini12
32,124062102,2022-06-02 01:28:44+00:00,"{'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/tjEPN20vvz', 'expanded_url': 'https://twitter.com/soompi/status/1531560066985635844', 'display_url': 'twitter.com/soompi/status/…'}]}",1532172329434099712,,"Pekan yang hectic buat SALT. Sibuk balas email menolak dukungan food truck dari shhd, sibuk nerima ucapan selamat buat PSH yang baru lahiran dan selamat buat KJW yang udah selesai dengan MLN. Alhamdulillaah yaa SALT. Bole dah kaliiik beli plang baru buat depan pintu kantor tuh. https://t.co/tjEPN20vvz",Dini Haiti Zulfany,diniehz
33,288668810,2022-06-02 01:28:25+00:00,"{'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/zMbsrW3JQi', 'expanded_url': 'https://twitter.com/linbea945/status/1532146192213155840', 'display_url': 'twitter.com/linbea945/stat…'}]}",1532172252028215296,,punya mertua yg royal loyal kaya raya 7 turunan dan ga pelit begini ini dimana ya:( https://t.co/zMbsrW3JQi,dini,dinidpl
34,1257805881153974272,2022-06-02 01:28:21+00:00,,1532172234030448640,,"segala concealer ketinggalan, cryy",444🕊️,match444latte
35,1387980099270500357,2022-06-02 01:28:20+00:00,"{'urls': [{'start': 9, 'end': 32, 'url': 'https://t.co/4300QmkqAf', 'expanded_url': 'https://twitter.com/titalol/status/1531981469232508938', 'display_url': 'twitter.com/titalol/status…'}]}",1532172230993424384,,Mie ayam https://t.co/4300QmkqAf,Ririn,DOGEONIEE
36,264543323,2022-06-02 01:28:16+00:00,,1532172212588847105,,lamanya tak hiking...kena cari geng baru ke mcm ni?,iresya,chuk41dako
37,999550634733981696,2022-06-02 01:28:10+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'hayuningratri', 'id': '56100975'}, {'start': 15, 'end': 24, 'username': 'alimaruv', 'id': '278406815'}]}",1532172186324471808,56100975.0,@hayuningratri @alimaruv Nasgor yg laper 1 laper semua makan 1 makan semua 😃,m.b.i.t,CeeMbit
38,1109749614377226240,2022-06-02 01:28:09+00:00,"{'mentions': [{'start': 0, 'end': 8, 'username': 'convomf', 'id': '1314975287294083073'}]}",1532172182066847744,1.314975287294083e+18,"@convomf Sneakers aja, heels bisa minjem kalo emang dipake hari itu doang",Tayα♡👷‍♀️ GOT7 COMEBACK,tnyoungly
39,1396469258100428804,2022-06-02 01:28:07+00:00,,1532172174122815488,,"Yayyyy lunch tgh hari bff oder kan nasi + ikan keli masak sambal + fresh orange 😍😍

You lunch ni juga yer🤭🤭",MidDy_Dzariff,middy_yeng
40,122372288,2022-06-02 01:28:03+00:00,,1532172157920636928,,"Kesel banget pagi2 mood udah berantakan. 2 kerdus sepatu gue dimakan rayap, sepatunya jadi kotor asuuuu😭",SN,taenaje_
41,1476952757747679233,2022-06-02 01:27:59+00:00,"{'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/zdIIaE9uXV', 'expanded_url': 'https://twitter.com/DonAdam68/status/1532048769276993537/photo/1', 'display_url': 'pic.twitter.com/zdIIaE9uXV', 'media_key': '3_1532048757231357952'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'DonAdam68', 'id': '1312514755'}]}",1532172139910303744,,RT @DonAdam68: Harus banget ya min utk kasih tahu merk sepatu Ibu Negara... https://t.co/zdIIaE9uXV,Muhamad Nur,cheenoel
42,58240944,2022-06-02 01:27:56+00:00,"{'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/UYwc1sZjR7', 'expanded_url': 'https://twitter.com/HlITOMl/status/1531491200691163136/photo/1', 'display_url': 'pic.twitter.com/UYwc1sZjR7', 'media_key': '3_1531491188699971584'}, {'start': 88, 'end': 111, 'url': 'https://t.co/UYwc1sZjR7', 'expanded_url': 'https://twitter.com/HlITOMl/status/1531491200691163136/photo/1', 'display_url': 'pic.twitter.com/UYwc1sZjR7', 'media_key': '3_1531491197151498241'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'HlITOMl', 'id': '73610231'}, {'start': 13, 'end': 22, 'username': 'ehiichan', 'id': '58240944'}]}",1532172130380840960,,"RT @HlITOMl: @ehiichan udah siang hehe, hitomi kasih mam aja ya 😆🌈 selamat lunch kak-!! https://t.co/UYwc1sZjR7",꒰ა hitomi ໒꒱,ehiichan
